City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,ergani,38.27,39.76,24.8,53,1,23.04,TR,1581213415
331,awjilah,29.11,21.29,50.04,63,0,4.65,LY,1581213415
332,lebu,-37.62,-73.65,56.73,77,0,6.42,CL,1581213415
333,kerman,30.28,57.08,53.6,76,75,2.24,IR,1581213415
334,pangai,-19.8,-174.35,81.43,81,4,20.38,TO,1581213415
335,qiongshan,20.01,110.35,66.2,77,40,15.66,CN,1581213415
336,comodoro rivadavia,-45.87,-67.5,55.4,87,0,3.36,AR,1581213415
337,huanan,46.22,130.52,8.87,81,99,9.26,CN,1581213415
338,margate,51.38,1.39,48.2,81,20,24.16,GB,1581213124
339,tortoli,39.93,9.66,48.2,81,5,10.29,IT,1581213416
340,saldanha,-33.01,17.94,60.8,93,2,6.93,ZA,1581213416
341,lima,-12.04,-77.03,73.4,83,100,11.41,PE,1581213222
342,akhtubinsk,48.28,46.17,14.92,89,70,9.44,RU,1581213416
343,kaeo,-35.1,173.78,77.0,63,67,8.99,NZ,1581213416
344,porto novo,6.5,2.6,80.6,94,0,8.05,BJ,1581213416
345,yar-sale,66.83,70.83,-0.22,96,100,5.99,RU,1581213416
346,borodino,55.91,94.9,35.78,78,100,18.72,RU,1581213416
347,ilo,-17.64,-71.34,70.32,83,100,3.18,PE,1581213416
348,ipubi,-7.65,-40.15,67.86,88,92,1.25,BR,1581213416
349,likasi,-10.98,26.73,60.42,95,100,2.53,CD,1581213416
350,maniitsoq,65.42,-52.9,3.51,91,100,19.13,GL,1581213416
351,camocim,-2.9,-40.84,73.74,97,28,1.97,BR,1581213420
352,bontang,0.13,117.5,82.4,77,100,8.52,ID,1581213420
353,palasa,18.77,84.42,62.78,96,100,4.76,IN,1581213420
354,hornbaek,56.09,12.45,44.01,93,100,10.29,DK,1581213420
355,redmond,47.67,-122.12,45.0,86,40,4.7,US,1581213166
356,waterfoot,53.69,-2.25,48.2,87,100,17.22,GB,1581213420
357,otjiwarongo,-20.46,16.65,62.6,42,5,2.24,NA,1581213420
358,bud,39.45,-86.18,32.0,80,90,8.05,US,1581213420
359,cordoba,-31.41,-64.18,73.0,92,37,6.29,AR,1581213216
360,muros,42.78,-9.06,57.99,87,40,12.75,ES,1581213420
361,udachnyy,66.42,112.4,-5.8,83,0,2.24,RU,1581213420
362,rivers,50.03,-100.24,15.8,78,90,4.7,CA,1581213420
363,ankazoabo,-22.28,44.52,68.54,83,0,1.52,MG,1581213420
364,sikonge,-5.63,32.77,62.29,96,0,5.7,TZ,1581213421
365,lorengau,-2.02,147.27,82.85,77,100,18.59,PG,1581213421
366,aksu,41.12,80.26,30.33,46,0,1.74,CN,1581213421
367,hambantota,6.12,81.12,68.0,100,20,18.59,LK,1581213421
368,itarema,-2.92,-39.92,75.34,93,97,3.94,BR,1581213421
369,port-gentil,-0.72,8.78,82.24,74,100,8.25,GA,1581213421
370,charters towers,-20.1,146.27,96.62,28,0,1.54,AU,1581213421
371,mancio lima,-7.61,-72.9,73.63,93,100,2.48,BR,1581213421
372,mandalgovi,45.76,106.27,22.86,54,4,18.1,MN,1581213421
373,atar,20.52,-13.05,64.8,18,1,7.92,MR,1581213421
374,alamogordo,32.9,-105.96,46.99,38,0,8.99,US,1581213422
375,muravlenko,63.79,74.52,-17.64,97,38,8.57,RU,1581213422
376,mecca,21.43,39.83,62.2,50,0,3.47,SA,1581213405
377,grand gaube,-20.01,57.66,77.0,73,20,5.82,MU,1581213422
378,rafai,4.95,23.92,75.61,22,59,6.44,CF,1581213422
379,sambava,-14.27,50.17,68.97,95,3,2.73,MG,1581213422
380,diego de almagro,-26.37,-70.05,57.81,54,0,0.6,CL,1581213422
381,nipawin,53.37,-104.0,1.4,91,1,5.82,CA,1581213422
382,constitucion,-35.33,-72.42,53.83,76,0,2.89,CL,1581213422
